t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
0.128000,0.000001,0.014025,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.128500,0.000001,0.014080,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.129000,0.000001,0.014135,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.129500,0.000001,0.014190,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.130000,0.000001,0.014245,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.130500,0.000001,0.014300,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.131000,0.000001,0.014355,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.131500,0.000001,0.014410,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.132000,0.000001,0.014465,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.132500,0.000001,0.014520,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.133000,0.000001,0.014575,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.133500,0.000001,0.014630,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.134000,0.000001,0.014685,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.134500,0.000001,0.014740,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.135000,0.000001,0.014795,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.135500,0.000001,0.014850,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.136000,0.000001,0.014905,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.136500,0.000001,0.014960,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.137000,0.000001,0.015015,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.137500,0.000001,0.015070,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.138000,0.000001,0.015125,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.138500,0.000001,0.015180,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.139000,0.000001,0.015235,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.139500,0.000001,0.015290,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.140000,0.000001,0.015345,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.140500,0.000001,0.015400,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.141000,0.000001,0.015455,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.141500,0.000001,0.015510,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.142000,0.000001,0.015565,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.142500,0.000001,0.015620,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.143000,0.000001,0.015675,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.143500,0.000001,0.015730,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.144000,0.000001,0.015785,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.144500,0.000001,0.015840,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.145000,0.000001,0.015895,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.145500,0.000001,0.015950,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.146000,0.000001,0.016005,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.146500,0.000001,0.016060,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.147000,0.000001,0.016115,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.147500,0.000001,0.016170,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.148000,0.000001,0.016225,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.148500,0.000001,0.016280,0.194308,0.019342,0.000000,0.000007,0.000000,0.000012
0.149000,0.000001,0.016335,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.149500,0.000001,0.016390,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.150000,0.000001,0.016445,0.194308,0.019342,0.000000,0.000007,0.000000,0.000011
0.150500,0.000001,0.016500,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.151000,0.000001,0.016555,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.151500,0.000001,0.016610,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
