t,theta_deg,force_N,penetration_mm
0.15250,-0.00000,0.02280,0.000001
0.15300,-0.00000,0.02288,0.000001
0.15350,-0.00000,0.02295,0.000001
0.15400,-0.00000,0.02303,0.000001
0.15450,-0.00000,0.02310,0.000001
0.15500,-0.00000,0.02318,0.000001
0.15550,-0.00000,0.02325,0.000001
0.15600,-0.00000,0.02333,0.000001
0.15650,-0.00000,0.02340,0.000001
0.15700,-0.00000,0.02348,0.000001
0.15750,-0.00000,0.02355,0.000001
0.15800,-0.00000,0.02363,0.000001
0.15850,-0.00000,0.02370,0.000001
0.15900,-0.00000,0.02378,0.000001
0.15950,-0.00000,0.02385,0.000001
0.16000,-0.00000,0.02393,0.000001
0.16050,-0.00000,0.02400,0.000001
0.16100,-0.00000,0.02408,0.000001
0.16150,-0.00000,0.02415,0.000001
0.16200,-0.00000,0.02423,0.000001
0.16250,-0.00000,0.02430,0.000001
0.16300,-0.00000,0.02438,0.000001
0.16350,-0.00000,0.02445,0.000001
0.16400,-0.00000,0.02453,0.000001
0.16450,-0.00000,0.02460,0.000001
0.16500,-0.00000,0.02468,0.000001
0.16550,-0.00000,0.02475,0.000001
0.16600,-0.00000,0.02483,0.000001
0.16650,-0.00000,0.02490,0.000001
0.16700,-0.00000,0.02498,0.000001
0.16750,-0.00000,0.02505,0.000001
0.16800,-0.00000,0.02513,0.000001
0.16850,-0.00000,0.02520,0.000001
0.16900,-0.00000,0.02528,0.000001
0.16950,-0.00000,0.02535,0.000001
0.17000,-0.00000,0.02543,0.000001
0.17050,-0.00000,0.02550,0.000001
0.17100,-0.00000,0.02558,0.000001
0.17150,-0.00000,0.02565,0.000001
0.17200,-0.00000,0.02573,0.000001
0.17250,-0.00000,0.02580,0.000001
0.17300,-0.00000,0.02588,0.000001
0.17350,-0.00000,0.02595,0.000001
0.17400,-0.00000,0.02603,0.000001
0.17450,-0.00000,0.02610,0.000001
0.17500,-0.00000,0.02618,0.000001
0.17550,-0.00000,0.02625,0.000001
0.17600,-0.00000,0.02633,0.000001
0.17650,-0.00000,0.02640,0.000001
0.17700,-0.00000,0.02648,0.000001
0.17750,-0.00000,0.02655,0.000001
0.17800,-0.00000,0.02663,0.000001
