t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
1.613000,218.801807,-0.010725,0.194309,0.024725,0.000000,0.000000,0.000000,0.000359
1.613500,218.801807,-0.010800,0.194309,0.024725,0.000000,0.000000,0.000000,0.000359
1.614000,218.801807,-0.010875,0.194309,0.024726,0.000000,0.000000,0.000000,0.000359
1.614500,218.801806,-0.010950,0.194309,0.024726,0.000000,0.000000,0.000000,0.000360
1.615000,218.801806,-0.011025,0.194309,0.024725,0.000000,0.000000,0.000000,0.000359
1.615500,218.801806,-0.011100,0.194309,0.024725,0.000000,0.000000,0.000000,0.000359
1.616000,218.801806,-0.011175,0.194309,0.024726,0.000000,0.000000,0.000000,0.000360
1.616500,218.801806,-0.011250,0.194309,0.024725,0.000000,0.000000,0.000000,0.000359
1.617000,218.801806,-0.011325,0.194309,0.024725,0.000000,0.000000,0.000000,0.000359
1.617500,218.801806,-0.011400,0.194309,0.024726,0.000000,0.000000,0.000000,0.000359
1.618000,218.801806,-0.011475,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.618500,218.801805,-0.011550,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.619000,218.801805,-0.011625,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.619500,218.801805,-0.011700,0.194308,0.024726,0.000000,0.000000,0.000000,0.000360
1.620000,218.801805,-0.011775,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.620500,218.801805,-0.011850,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.621000,218.801805,-0.011925,0.194308,0.024726,0.000000,0.000000,0.000000,0.000360
1.621500,218.801805,-0.012000,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.622000,218.801805,-0.012075,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.622500,218.801804,-0.012150,0.194308,0.024725,0.000000,0.000000,0.000000,0.000360
1.623000,218.801804,-0.012225,0.194308,0.024726,0.000000,0.000000,0.000000,0.000360
1.623500,218.801804,-0.012300,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.624000,218.801804,-0.012375,0.194308,0.024725,0.000000,0.000000,0.000000,0.000359
1.624500,218.801804,-0.012450,0.194308,0.024726,0.000000,0.000000,0.000000,0.000360
1.625000,218.801804,-0.012525,0.194307,0.024725,0.000000,0.000000,0.000000,0.000359
